,label
0,0
1,0
2,1
3,0
4,0
5,1
6,0
7,0
8,1
9,1
10,0
11,0
12,0
13,1
14,0
15,0
16,0
17,0
18,0
19,1
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,1
28,0
29,0
30,0
31,0
32,1
33,0
34,1
35,0
36,1
37,0
38,0
39,0
40,0
41,1
42,0
43,1
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,1
52,1
53,0
54,1
55,1
56,1
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,1
71,0
72,1
73,0
74,0
75,0
76,1
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,1
85,0
86,0
87,0
88,0
89,0
90,0
91,1
92,0
93,0
94,0
95,0
96,0
97,1
98,0
99,1
100,0
101,0
102,1
103,0
104,0
105,1
106,0
107,0
108,0
109,1
110,1
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,1
123,0
124,0
125,0
126,0
127,0
128,1
129,0
130,1
131,0
132,1
133,1
134,0
135,0
136,0
137,0
138,0
139,1
140,1
141,0
142,1
143,0
144,1
145,1
146,1
147,1
148,1
149,1
150,0
151,0
152,0
153,0
154,1
155,1
156,0
157,1
158,0
159,0
160,0
161,0
162,0
163,0
164,1
165,0
166,0
167,0
168,0
169,0
170,1
171,1
172,0
173,1
174,1
175,0
176,1
177,0
178,0
179,0
180,0
181,0
182,1
183,1
184,0
185,1
186,1
187,1
188,0
189,0
190,0
191,0
192,1
193,0
194,0
195,1
196,0
197,0
198,0
199,0
200,1
201,1
202,1
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,1
211,1
212,1
213,0
214,0
215,0
216,0
217,0
218,0
219,1
220,0
221,1
222,1
223,1
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,1
232,1
233,0
234,0
235,1
236,0
237,0
238,0
239,1
240,0
241,0
242,1
243,0
244,1
245,0
246,1
247,0
248,0
249,1
250,1
251,1
252,0
253,1
254,0
255,0
256,0
257,1
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,1
271,1
272,0
273,0
274,0
275,0
276,0
277,1
278,0
279,0
280,0
281,1
282,0
283,0
284,0
285,0
286,0
287,0
288,1
289,0
290,1
291,1
292,0
293,0
294,0
295,1
296,0
297,1
298,0
299,0
300,0
301,1
302,1
303,0
304,1
305,1
306,1
307,0
308,0
309,0
310,1
311,1
312,1
313,0
314,1
315,0
316,0
317,0
318,0
319,0
320,0
321,1
322,0
323,0
324,1
325,0
326,0
327,1
328,1
329,0
330,0
331,1
332,0
333,0
334,1
335,0
336,0
337,0
338,0
339,1
340,0
341,0
342,0
343,0
344,0
345,0
346,1
347,0
348,1
349,0
350,1
351,0
352,0
353,0
354,1
355,0
356,0
357,0
358,1
359,0
360,1
361,0
362,0
363,1
364,0
365,0
366,1
367,1
368,1
369,0
370,0
371,1
372,0
373,1
374,1
375,1
376,0
377,0
378,0
379,0
380,1
381,0
382,0
383,0
384,1
385,1
386,0
387,0
388,0
389,1
390,0
391,0
392,0
393,1
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,1
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,1
414,0
415,0
416,1
417,0
418,0
419,1
420,0
421,1
422,1
423,0
424,0
425,0
426,1
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,1
438,0
439,1
440,1
441,0
442,1
443,0
444,1
445,0
446,0
447,0
448,0
449,0
450,1
451,0
452,0
453,1
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,1
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,1
473,1
474,1
475,0
476,0
477,0
478,0
479,1
480,1
481,1
482,0
483,0
484,0
485,1
486,0
487,1
488,0
489,0
490,1
491,0
492,1
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,1
501,0
502,1
503,1
504,0
505,0
506,1
507,0
508,1
509,1
510,0
511,1
512,1
513,1
514,0
515,0
516,0
517,0
518,0
519,1
520,0
521,0
522,0
523,1
524,1
525,0
526,1
527,0
528,0
529,1
530,0
531,0
532,1
